City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,San Jeronimo,PE,-11.9472,-75.2829,55.04000000000002,65,100,1.53,overcast clouds
73,New Norfolk,AU,-42.7826,147.0587,44.36600000000001,87,94,1.28,overcast clouds
74,Labuhan,ID,-6.8844,112.2051,74.48000000000005,86,74,3.28,broken clouds
75,Saint-Augustin,CA,51.226,-58.6502,72.42799999999997,54,73,7.62,broken clouds
76,La Asuncion,VE,11.0333,-63.8628,98.60000000000001,44,76,6.69,broken clouds
77,Awbari,LY,26.5921,12.7805,86.95399999999995,14,10,3.47,clear sky
78,Manuk Mangkaw,PH,4.8,119.85,84.01999999999995,71,92,1.24,overcast clouds
79,Pangai,TO,-19.8,-174.35,75.57799999999997,73,20,5.66,few clouds
80,Kargasok,RU,59.0556,80.8572,60.16999999999996,89,24,3.89,few clouds
81,Kodiak,US,57.79,-152.4072,55.184,62,0,0.0,clear sky
82,Castro,BR,-24.7911,-50.0119,68.54000000000002,59,0,2.2,clear sky
83,Victoria,HK,22.2855,114.1577,86.64800000000002,77,0,4.02,clear sky
84,Chicama,PE,-7.8447,-79.1469,63.40999999999998,68,100,4.12,overcast clouds
85,Sant Feliu De Guixols,ES,41.7833,3.0333,79.62799999999996,55,28,2.64,scattered clouds
86,Verkhnyaya Toyma,RU,62.2349,44.9985,58.90999999999998,73,55,1.55,broken clouds
87,Azle,US,32.8951,-97.5459,105.76400000000004,32,20,6.69,few clouds
88,Rock Sound,BS,24.9,-76.2,83.15600000000003,79,91,8.55,overcast clouds
89,Cherskiy,RU,68.75,161.3,44.69000000000002,62,5,4.98,clear sky
90,Atuona,PF,-9.8,-139.0333,77.52200000000005,76,6,7.88,clear sky
91,Iskateley,RU,67.6803,53.1512,48.57799999999996,82,7,2.88,clear sky
92,Avarua,CK,-21.2078,-159.775,71.924,64,40,6.17,scattered clouds
93,Seoul,KR,37.5683,126.9778,78.674,92,75,1.54,mist
94,Constitucion,CL,-35.3333,-72.4167,55.65199999999997,83,96,4.64,overcast clouds
95,Yokadouma,CM,3.5167,15.05,71.41999999999996,87,95,0.98,overcast clouds
96,Ribeirao Branco,BR,-24.2208,-48.7656,68.21600000000001,56,0,2.29,clear sky
97,Bela,IN,25.9333,81.9833,87.476,66,100,2.59,overcast clouds
98,Qaanaaq,GL,77.484,-69.3632,44.45600000000003,63,30,2.02,scattered clouds
99,Srednekolymsk,RU,67.45,153.6833,42.314000000000036,72,88,6.69,overcast clouds
100,Ojinaga,MX,29.5667,-104.4167,100.85000000000001,29,0,2.06,clear sky
101,Arys,KZ,42.4252,68.795,86.91799999999998,26,0,4.04,clear sky
102,Longyearbyen,SJ,78.2186,15.6401,48.30800000000001,87,75,2.57,broken clouds
103,Beidao,CN,34.5686,105.8933,68.32400000000001,90,96,2.41,heavy intensity rain
104,Khatanga,RU,71.9667,102.5,66.308,56,74,3.99,broken clouds
105,Lavrentiya,RU,65.5833,-171.0,39.21799999999998,89,100,6.34,overcast clouds
106,Umm Lajj,SA,25.0213,37.2685,86.35999999999999,69,10,3.01,clear sky
107,Port Blair,IN,11.6667,92.75,81.51799999999999,82,100,1.5,overcast clouds
108,Katsuura,JP,35.1333,140.3,79.39399999999998,90,79,5.89,broken clouds
109,Doctor Arroyo,MX,23.6667,-100.1833,82.11199999999997,30,100,0.35,overcast clouds
110,Ponta Do Sol,PT,32.6667,-17.1,81.5,58,4,2.87,clear sky
111,Topolobampo,MX,25.6,-109.05,91.02200000000005,54,51,5.92,broken clouds
112,Bambous Virieux,MU,-20.3428,57.7575,70.484,83,40,3.09,light rain
113,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.35999999999999,79,45,5.05,scattered clouds
114,Berea,US,41.3662,-81.8543,82.38200000000002,57,75,5.66,broken clouds
115,Cayenne,GF,4.9333,-52.3333,86.35999999999999,14,75,1.54,broken clouds
116,San Anselmo,US,37.9747,-122.5616,82.75999999999999,71,0,4.12,clear sky
117,Pacific Grove,US,36.6177,-121.9166,73.47200000000004,78,0,4.92,clear sky
118,Chernyshevskiy,RU,63.0128,112.4714,65.96600000000001,93,2,1.36,clear sky
119,Shimoda,JP,34.6667,138.95,76.36999999999996,92,52,3.12,broken clouds
120,Kavieng,PG,-2.5744,150.7967,82.41799999999998,71,100,5.66,overcast clouds
121,Leningradskiy,RU,69.3833,178.4167,33.85399999999995,99,100,3.83,light snow
122,Smithers,CA,54.7804,-127.1743,75.79399999999998,57,20,3.6,few clouds
123,Kshenskiy,RU,51.8408,37.7136,66.01999999999995,86,12,2.44,light rain
124,Bethel,US,41.3712,-73.414,83.62400000000002,48,40,2.57,scattered clouds
125,Naze,JP,28.3667,129.4833,76.38800000000005,77,2,2.85,clear sky
126,Chuy,UY,-33.6971,-53.4616,62.780000000000044,92,88,2.13,overcast clouds
127,Clarksburg,US,39.2807,-80.3445,75.16400000000004,86,100,4.63,overcast clouds
128,Jiayuguan,CN,39.8167,98.3,74.40800000000002,17,6,6.49,clear sky
129,Hamilton,US,39.1834,-84.5333,76.49600000000005,88,100,2.06,mist
130,Saskylakh,RU,71.9167,114.0833,66.542,85,28,1.88,scattered clouds
131,Tuatapere,NZ,-46.1333,167.6833,44.6,95,100,4.03,overcast clouds
132,Lorengau,PG,-2.0226,147.2712,80.85199999999998,82,82,3.59,broken clouds
133,Luderitz,NA,-26.6481,15.1594,56.26400000000004,81,40,1.76,scattered clouds
134,Lebu,CL,-37.6167,-73.65,54.14000000000002,77,3,7.81,clear sky
135,Flin Flon,CA,54.7682,-101.865,60.908,88,75,4.63,broken clouds
136,Pimentel,PE,-6.8367,-79.9342,70.358,64,0,6.17,clear sky
137,Tacoronte,ES,28.4769,-16.4102,88.39399999999998,27,0,2.06,clear sky
138,Banjaran,ID,-7.0453,107.5878,67.55000000000001,92,100,0.85,overcast clouds
139,Faanui,PF,-16.4833,-151.75,77.86400000000003,74,47,4.69,scattered clouds
140,Hobyo,SO,5.3505,48.5268,76.49600000000005,83,29,11.49,scattered clouds
141,Wewak,PG,-3.5534,143.6268,77.84600000000006,89,97,4.23,overcast clouds
142,Hofn,IS,64.2539,-15.2082,50.522000000000034,89,99,1.3,overcast clouds
143,Gayeri,BF,12.6497,0.4931,80.834,70,100,4.74,overcast clouds
144,Saldanha,ZA,-33.0117,17.9442,55.72400000000002,88,21,2.12,few clouds
145,Quatre Cocos,MU,-20.2078,57.7625,70.358,81,16,5.31,light rain
146,Batagay,RU,67.6333,134.6333,66.90199999999999,67,27,0.8,scattered clouds
147,Ahipara,NZ,-35.1667,173.1667,56.35399999999996,74,97,7.17,overcast clouds
148,Vaini,TO,-21.2,-175.2,72.03200000000001,88,20,2.57,few clouds
149,Cidreira,BR,-30.1811,-50.2056,63.158,89,11,5.14,few clouds
150,Nanortalik,GL,60.1432,-45.2371,45.842,89,77,2.35,broken clouds
151,Aksu,CN,41.1231,80.2644,85.55000000000001,23,6,0.8,clear sky
152,Nome,US,64.5011,-165.4064,44.94199999999999,77,100,9.77,overcast clouds
153,Parabel,RU,58.6978,81.4825,59.12599999999999,91,24,3.76,few clouds
154,Mehkar,IN,20.1508,76.569,74.01199999999996,89,100,2.61,overcast clouds
155,Kahului,US,20.8947,-156.47,84.48800000000006,69,20,9.26,few clouds
156,Caxito,AO,-8.5785,13.6643,69.11600000000001,93,98,1.51,overcast clouds
157,Kayiry,UA,46.9454,33.7059,72.64399999999998,56,0,4.5,clear sky
158,Savonlinna,FI,61.8699,28.88,70.12400000000002,68,100,2.57,overcast clouds
159,Pevek,RU,69.7008,170.3133,34.64600000000005,82,78,2.7,broken clouds
160,Singapore,SG,1.2897,103.8501,82.52599999999998,85,75,2.06,broken clouds
161,Morant Bay,JM,17.8815,-76.4093,78.69200000000001,80,99,5.62,light rain
162,Iqaluit,CA,63.7506,-68.5145,51.8,76,20,3.6,few clouds
163,Manoel Urbano,BR,-8.8389,-69.2597,94.90999999999998,31,14,1.08,few clouds
164,Calamar,CO,10.2511,-74.9146,82.70600000000003,75,100,1.92,overcast clouds
165,Comodoro Rivadavia,AR,-45.8667,-67.5,37.52599999999999,87,75,3.09,light rain
166,Hearst,CA,49.6835,-83.6665,75.72200000000004,41,100,3.09,overcast clouds
167,Mar Del Plata,AR,-38.0023,-57.5575,60.36799999999998,97,100,2.57,mist
168,Mahebourg,MU,-20.4081,57.7,70.51999999999995,83,40,3.09,scattered clouds
169,Maceio,BR,-9.6658,-35.7353,76.71199999999996,88,100,4.12,mist
170,Kanigoro,ID,-8.13,112.219,69.51199999999996,90,19,1.03,few clouds
171,Matagami,CA,49.7502,-77.6328,68.07200000000003,55,56,6.11,broken clouds
172,Do Gonbadan,IR,30.3586,50.7981,86.35999999999999,21,0,0.0,clear sky
173,Gat,IL,31.61,34.7642,81.66199999999995,58,0,1.44,clear sky
174,Provideniya,RU,64.3833,-173.3,46.72400000000001,63,71,2.33,broken clouds
175,Puerto Ayora,EC,-0.7393,-90.3518,79.03399999999999,89,100,4.02,overcast clouds
176,Port Angeles,US,48.1181,-123.4307,87.60199999999998,56,0,3.09,clear sky
177,Padang,ID,-0.9492,100.3543,76.29800000000003,86,91,1.46,overcast clouds
178,Komsomolskiy,UZ,40.4272,71.7189,86.99000000000002,32,5,3.09,clear sky
179,Along,IN,28.1667,94.7667,73.30999999999997,98,66,0.58,broken clouds
180,Aksarka,RU,66.5606,67.7975,49.80199999999998,89,100,5.58,overcast clouds
